"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","Gate time (ns)","Operational"
"95","150.15071033666956","70.37867709889528","0","0","0.007500000000000062","0.010000000000000009","0.005","1560","0.00025852788878420225","0","0.00025852788878420225","0.00025852788878420225","95_94:0.005277654801642578;95_99:0.0031329229950521342","95_94:68;95_99:68","true"
"96","96.91781871314625","159.27052632615207","0","0","0.008899999999999908","0.0124","0.00539999999999996","1560","0.000210208977790626","0","0.000210208977790626","0.000210208977790626","96_103:0.0025825714064725835;96_83:0.002335387406460415","96_103:68;96_83:68","true"
"97","114.9023589869273","107.54209925715256","0","0","0.008599999999999941","0.01","0.007199999999999984","1560","0.0004839923294719603","0","0.0004839923294719603","0.0004839923294719603","97_87:0.004497975311094693;97_107:0.002301954725454358","97_87:68;97_107:68","true"
"98","95.07565248763314","20.333462047798566","0","0","0.010399999999999965","0.0134","0.007399999999999962","1560","0.0002992010550936987","0","0.0002992010550936987","0.0002992010550936987","98_91:0.00222929699919297;98_111:0.004482791456616286","98_91:68;98_111:68","true"
"99","153.99247737571392","18.792580991306302","0","0","0.012799999999999923","0.0152","0.010399999999999965","1560","0.0004124243611020253","0","0.0004124243611020253","0.0004124243611020253","99_95:0.0031329229950521342;99_115:0.0038381440228269503","99_95:68;99_115:68","true"
"100","148.36192072938357","40.54331290998537","0","0","0.03600000000000003","0.04400000000000004","0.028","1560","0.001406066439357405","0","0.001406066439357405","0.001406066439357405","100_101:0.0034809136017007747","100_101:68","true"
"101","139.49152167820088","122.14538856408328","0","0","0.04169999999999996","0.0538","0.02959999999999996","1560","0.00040854812736869676","0","0.00040854812736869676","0.00040854812736869676","101_116:0.0038616089713162383;101_102:0.004005693600070415;101_100:0.0034809136017007747","101_116:68;101_102:68;101_100:68","true"
"102","147.241197124095","106.90110553119557","0","0","0.00880000000000003","0.012","0.005600000000000049","1560","0.00021000196049905198","0","0.00021000196049905198","0.00021000196049905198","102_103:0.002679059191271954;102_101:0.004005693600070415","102_103:88;102_101:68","true"
"103","159.0911298486276","145.24455077026013","0","0","0.0047000000000000375","0.006800000000000028","0.0026","1560","0.00028076308014964024","0","0.00028076308014964024","0.00028076308014964024","103_104:0.003784133880928825;103_102:0.002679059191271954;103_96:0.0025825714064725835","103_104:68;103_102:88;103_96:68","true"
"104","137.56172034623916","92.02516900079415","0","0","0.03510000000000002","0.0422","0.028000000000000025","1560","0.0002355860430462681","0","0.0002355860430462681","0.0002355860430462681","104_105:0.002660126128088164;104_103:0.003784133880928825","104_105:68;104_103:68","true"
"105","43.05813721461515","196.17624752174328","0","0","0.007500000000000062","0.0098","0.005199999999999982","1560","0.0003442887907604007","0","0.0003442887907604007","0.0003442887907604007","105_104:0.002660126128088164;105_117:0.006819313946436284;105_106:0.001816885846630173","105_104:68;105_117:68;105_106:68","true"
"106","81.25372170383847","121.04070228761381","0","0","0.01869999999999994","0.0256","0.011800000000000033","1560","0.00022645359081972604","0","0.00022645359081972604","0.00022645359081972604","106_107:0.0022850923529487976;106_105:0.001816885846630173","106_107:68;106_105:68","true"
